unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,ads_sdk_received_count,total_count
1756504800,ViewContent,3554,0,0,0,0,0,3554
1756508400,ViewContent,3555,0,0,0,0,0,3555
1756512000,ViewContent,3554,0,0,0,0,0,3554
1756515600,ViewContent,3554,0,0,0,0,0,3554
1756519200,ViewContent,3554,0,0,0,0,0,3554
1756522800,ViewContent,3555,0,0,0,0,0,3555
1756526400,ViewContent,3554,0,0,0,0,0,3554
1756530000,ViewContent,3557,0,0,0,0,0,3557
1756533600,ViewContent,3295,0,0,0,0,0,3295
1756537200,ViewContent,3051,0,0,0,0,0,3051
1756540800,ViewContent,3558,0,0,0,0,0,3558
1756544400,ViewContent,3558,0,0,0,0,0,3558
1756548000,ViewContent,3556,0,0,0,0,0,3556
1756551600,ViewContent,6788,0,0,0,0,0,6788
1756555200,ViewContent,5967,0,0,0,0,0,5967
1756558800,ViewContent,6650,0,0,0,0,0,6650
1756562400,ViewContent,7110,0,0,0,0,0,7110
1756566000,ViewContent,6877,0,0,0,0,0,6877
1756569600,ViewContent,2508,0,0,0,0,0,2508
1756573200,ViewContent,15,0,0,0,0,0,15
1756576800,ViewContent,1862,0,0,0,0,0,1862
1756580400,ViewContent,2295,0,0,0,0,0,2295
1756584000,ViewContent,1800,0,0,0,0,0,1800
1756587600,ViewContent,1800,0,0,0,0,0,1800
1756591200,ViewContent,629,0,0,0,0,0,629
1756623600,ViewContent,1848,0,0,0,0,0,1848
1756627200,ViewContent,3578,0,0,0,0,0,3578
1756630800,ViewContent,3580,0,0,0,0,0,3580
1756634400,ViewContent,3586,0,0,0,0,0,3586
1756638000,ViewContent,3585,0,0,0,0,0,3585
1756641600,ViewContent,2587,0,0,0,0,0,2587
1756645200,ViewContent,3436,0,0,0,0,0,3436
1756648800,ViewContent,3671,0,0,0,0,0,3671
1756652400,ViewContent,11175,0,0,0,0,0,11175
1756656000,ViewContent,5240,0,0,0,0,0,5240
1756659600,ViewContent,6415,0,0,0,0,0,6415
1756663200,ViewContent,5463,0,0,0,0,0,5463
1756666800,ViewContent,5693,0,0,0,0,0,5693
1756670400,ViewContent,5516,0,0,0,0,0,5516
1756674000,ViewContent,4610,0,0,0,0,0,4610
1756677600,ViewContent,4335,0,0,0,0,0,4335
1756681200,ViewContent,3256,0,0,0,0,0,3256
1756684800,ViewContent,3251,0,0,0,0,0,3251
1756688400,ViewContent,4230,0,0,0,0,0,4230
1756692000,ViewContent,6508,0,0,0,0,0,6508
1756695600,ViewContent,6277,0,0,0,0,0,6277
1756699200,ViewContent,5669,0,0,0,0,0,5669
1756702800,ViewContent,6094,0,0,0,0,0,6094
1756706400,ViewContent,4384,0,0,0,0,0,4384
1756710000,ViewContent,4384,0,0,0,0,0,4384
1756713600,ViewContent,4822,0,0,0,0,0,4822
1756717200,ViewContent,4160,0,0,0,0,0,4160
1756720800,ViewContent,3275,0,0,0,0,0,3275
1756724400,ViewContent,2643,0,0,0,0,0,2643
1756728000,ViewContent,4229,0,0,0,0,0,4229
1756731600,ViewContent,5821,0,0,0,0,0,5821
1756735200,ViewContent,5668,0,0,0,0,0,5668
1756738800,ViewContent,6770,0,0,0,0,0,6770
1756742400,ViewContent,5609,0,0,0,0,0,5609
1756746000,ViewContent,11932,0,0,0,0,0,11932
1756749600,ViewContent,7768,0,0,0,0,0,7768
1756753200,ViewContent,7230,0,0,0,0,0,7230
1756756800,ViewContent,6412,0,0,0,0,0,6412
1756760400,ViewContent,5822,0,0,0,0,0,5822
1756764000,ViewContent,3623,0,0,0,0,0,3623
1756767600,ViewContent,4013,0,0,0,0,0,4013
1756771200,ViewContent,3179,0,0,0,0,0,3179
1756774800,ViewContent,3697,0,0,0,0,0,3697
1756778400,ViewContent,1837,0,0,0,0,0,1837
1756782000,ViewContent,1865,0,0,0,0,0,1865
1756785600,ViewContent,3788,0,0,0,0,0,3788
1756789200,ViewContent,3644,0,0,0,0,0,3644
1756792800,ViewContent,3666,0,0,0,0,0,3666
1756796400,ViewContent,5597,0,0,0,0,0,5597
1756800000,ViewContent,4759,0,0,0,0,0,4759
1756803600,ViewContent,3686,0,0,0,0,0,3686
1756807200,ViewContent,5918,0,0,0,0,0,5918
1756810800,ViewContent,6764,0,0,0,0,0,6764
1756814400,ViewContent,6747,0,0,0,0,0,6747
1756818000,ViewContent,7853,0,0,0,0,0,7853
1756821600,ViewContent,9991,0,0,0,0,0,9991
1756825200,ViewContent,5102,0,0,0,0,0,5102
1756828800,ViewContent,8466,0,0,0,0,0,8466
1756832400,ViewContent,2485,0,0,0,0,0,2485
1756836000,ViewContent,425,0,0,0,0,0,425
1756839600,ViewContent,3559,0,0,0,0,0,3559
1756843200,ViewContent,67,0,0,0,0,0,67
1756846800,ViewContent,368,0,0,0,0,0,368
1756850400,ViewContent,42,0,0,0,0,0,42
1756854000,ViewContent,168,0,0,0,0,0,168
1756857600,ViewContent,36,0,0,0,0,0,36
1756861200,ViewContent,41,0,0,0,0,0,41
1756864800,ViewContent,38,0,0,0,0,0,38
1756868400,ViewContent,67,0,0,0,0,0,67
1756872000,ViewContent,41,0,0,0,0,0,41
1756875600,ViewContent,2560,0,0,0,0,0,2560
1756879200,ViewContent,2320,0,0,0,0,0,2320
1756882800,ViewContent,1271,0,0,0,0,0,1271
1756886400,ViewContent,31,0,0,0,0,0,31
1756890000,ViewContent,92,0,0,0,0,0,92
1756893600,ViewContent,1051,0,0,0,0,0,1051
1756897200,ViewContent,434,0,0,0,0,0,434
1756900800,ViewContent,328,0,0,0,0,0,328
1756904400,ViewContent,666,0,0,0,0,0,666
1756908000,ViewContent,1147,0,0,0,0,0,1147
1756911600,ViewContent,2724,0,0,0,0,0,2724
1756915200,ViewContent,2068,0,0,0,0,0,2068
1756918800,ViewContent,328,0,0,0,0,0,328
1756922400,ViewContent,90,0,0,0,0,0,90
1756926000,ViewContent,562,0,0,0,0,0,562
1756929600,ViewContent,708,0,0,0,0,0,708
1756936800,ViewContent,5830,0,0,0,0,0,5830
1756962000,ViewContent,16,19,0,0,0,0,35
1756969200,ViewContent,4,4,0,0,0,0,8
1756972800,ViewContent,4072,4053,0,0,0,0,8125
1756976400,ViewContent,243,243,0,0,0,0,486
1756980000,ViewContent,198,198,0,0,0,0,396
1756987200,ViewContent,58,59,0,0,0,0,117
1756990800,ViewContent,223,231,0,0,0,0,454
1756994400,ViewContent,295,295,0,0,0,0,590
1756998000,ViewContent,326,326,0,0,0,0,652
1757001600,ViewContent,249,249,0,0,0,0,498
1757005200,ViewContent,16,16,0,0,0,0,32
1757008800,ViewContent,3,3,0,0,0,0,6
1757012400,ViewContent,5953,5947,0,0,0,0,11900
1757016000,ViewContent,5097,5068,0,0,0,0,10165
1757019600,ViewContent,2111,2102,0,0,0,0,4213
1757023200,ViewContent,4645,4622,0,0,0,0,9267
1757026800,ViewContent,600,594,0,0,0,0,1194
1757030400,ViewContent,17,17,0,0,0,0,34
1757034000,ViewContent,954,946,0,0,0,0,1900
1757044800,ViewContent,3,3,0,0,0,0,6
1757048400,ViewContent,14,14,0,0,0,0,28
1757052000,ViewContent,560,558,0,0,0,0,1118
1757055600,ViewContent,14,14,0,0,0,0,28
1757062800,ViewContent,1,1,0,0,0,0,2
1757070000,ViewContent,60,60,0,0,0,0,120
1757073600,ViewContent,5,5,0,0,0,0,10
1757077200,ViewContent,6,6,0,0,0,0,12
1757080800,ViewContent,544,555,0,0,0,0,1099
1757084400,ViewContent,9,9,0,0,0,0,18
1757088000,ViewContent,1832,1828,0,0,0,0,3660
1757098800,ViewContent,46,45,0,0,0,0,91
Download our Terms for Facebook Business Tools at https://www.facebook.com/legal/terms/businesstools/update